LC08_L2SP_125059_20220401_20220406_02_T1
LC08_L2SP_125059_20210617_20210622_02_T1
LC08_L2SP_125059_20200716_20200911_02_T1
LC08_L2SP_125059_20190527_20200828_02_T1
LC08_L2SP_125059_20180508_20200901_02_T1
LC08_L2SP_125059_20170724_20200903_02_T1
LC08_L2SP_125059_20160502_20200907_02_T1
LC08_L2SP_125059_20150414_20200909_02_T1
LC08_L2SP_125059_20140513_20200911_02_T1
LC08_L2SP_125059_20130627_20200912_02_T1
