LC09_L2SP_125059_20220628_20230409_02_T1
LC08_L2SP_125059_20220519_20220525_02_T1
LC08_L2SP_125059_20220417_20220420_02_T1
LC09_L2SP_125059_20220324_20230424_02_T1
